time;a;d;g;r;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
1020;115.445;3.7973943;1.85003;0.2650126;8.29378;-5.9347;2.5868;2.04448;0.77348;0.06337;0.43613;0.05025;0.61632;-1.13397
1030;115.684;3.9013674;1.86445;0.2837645;9.28697;-5.37341;2.97582;1.97748;-0.03199;-0.1957;-0.21787;-0.3095;0.9696;-1.15731
1040;115.832;3.8197134;1.8602;0.2736673;8.96336;-5.28488;3.21264;2.13623;-0.4082;-0.09083;-0.53295;-0.3726;0.94129;-1.49052
1050;116.469;3.7740245;1.84647;0.2451729;8.71422;-5.44723;3.54406;2.1239;-0.21899;-0.12331;-0.02097;0.00614;0.86585;-0.96974
1060;113.952;3.8911884;1.8625;0.2690448;9.09762;-5.81527;3.2097;2.75608;0.05513;0.62232;-0.20193;-0.52213;0.74714;-1.18134
1070;115.255;3.7691407;1.8555;0.2707448;8.90949;-5.70357;2.84261;2.00215;0.29722;0.1125;-0.19645;-0.01962;0.77428;-0.95348
1080;116.861;3.8554943;1.86278;0.2728106;9.05412;-5.50326;2.86948;1.87356;-0.00843;0.48634;-0.10898;-0.62224;0.97323;-1.26904
1090;117.728;3.715168;1.85624;0.2895649;8.85983;-5.46628;2.38337;1.71134;-0.21246;-0.06844;-0.34911;-0.52285;0.31482;-1.02361
1100;116.855;3.7645049;1.88211;0.2913001;9.16999;-6.06196;2.27056;1.88023;0.30901;0.02613;-0.2273;-0.25951;0.50586;-0.89051
1110;113.438;3.745364;1.85518;0.2746532;8.78669;-5.38005;2.76797;1.76033;0.09926;-0.22727;-0.2317;0.0437;0.7968;-0.93374
1120;115.913;4.0091419;1.8983;0.3079686;10.40741;-6.00533;2.29268;2.35088;0.4035;0.16552;0.23064;-0.63236;0.69133;-0.97011
1130;117.057;3.9722133;1.88605;0.2980043;9.98321;-6.38494;2.0761;2.19661;0.43604;0.58901;0.21917;-0.60254;0.67032;-1.09429
1140;117.127;3.8742874;1.87852;0.3408651;9.80284;-4.95421;1.81377;1.7083;-0.03743;0.34691;-0.70349;-1.0293;0.36989;-0.81782
1150;115.288;3.669528;1.85649;0.3185893;9.11856;-4.35624;2.40749;1.65391;-0.44654;0.0686;0.06185;-0.78102;0.81901;-0.63548
1160;116.848;3.7112069;1.86522;0.3072742;9.08282;-4.96106;2.49214;1.83449;-0.5159;-0.1452;-0.30185;-0.29167;0.69857;-0.83754
1170;116.032;3.6795678;1.86635;0.3024359;9.08262;-5.47049;3.02503;1.74912;-1.28317;-0.07885;-0.33834;-0.12908;0.57222;-0.8741
1180;115.319;3.4770405;1.84054;0.2974347;8.09002;-5.34218;2.75968;1.3682;-1.46207;-0.56041;-0.36419;0.42167;0.44666;-1.10765
1190;114.964;3.4304416;1.84004;0.3508772;8.40357;-4.34675;2.01824;1.22288;-1.88143;-1.05714;-0.80434;0.36866;0.53645;-1.17687
1200;115.605;3.57233;1.84209;0.3449678;8.44025;-4.95507;1.45544;1.69915;-1.10799;-0.0777;-1.06052;-0.01424;0.02302;-1.32633
1210;116.614;3.5386062;1.8431;0.3289306;8.06011;-5.50425;1.23267;1.80502;-0.64446;0.05462;-0.58054;0.27815;-0.29308;-1.03638
